region,admin,year,rock_km2,normal_km2,prog_km2,critical_km2,norm_%,prog_%,critical_%,stid1,stid2,stid3,stid4,stid5,stid6,stid7,stid8,stid9
East,Youngduk,2024,8.6,3.9,2.5,2.2,45.3,29.1,25.6,CE2505,CE2504,CE2507,CE2506,CE2508,,,,
East,Pohang,2024,48.4,21.8,18.4,8.2,45,38,17,CE2504,CE2505,CE2503,CE2502,CE2501,,,,
East,Gyungju,2024,5.3,2.9,1.7,0.7,54.4,32.3,13.3,CE2441,CE2442,CE2443,CE2444,,,,,
East,Ulsan,2024,18.1,9.1,6.2,2.8,50.2,34.3,15.5,CE2440,,,,,,,,
South,Geoje,2024,8.3,6.3,1.3,0.7,75.9,15.7,8.4,CK2425,CK2430,CK2432,,,,,,
South,Tongyoung,2024,13.8,11.3,1.6,0.9,81.9,11.6,6.5,CK2423,CK2423,CK2420,CK2418,CK2426,CK2427,CK2421,,
South,Gosung,2024,2.5,2.2,0.2,0.1,88,8,4,CK2409,CK2411,CK2413,,,,,,
South,Namhae,2024,6.9,5.4,1.3,0.2,78.3,18.8,2.9,CK2406,CK2408,,,,,,,
South,Yeosu,2024,22.2,17.8,2.9,1.5,80.1,13.1,6.8,CK2402,CK2407,,,,,,,
South,Gohung,2024,10.5,9.4,0.8,0.3,89.5,7.6,2.9,CW2318,CW2322,CW2323,CW2324,CW2325,,,,
South,Gangjin,2024,0.1,0.085,0.01,0.005,85,10,5,CW2312,,,,,,,,
South,Wando,2024,24.2,20.9,2.2,1.1,86.4,9.1,4.5,CW2314,CW2313,CW2315,CW2317,,,,,
